Artist,Song,Genre,Language,Lyrics
12 stones,world so cold,Rock,en,"It starts with pain, followed by hate
Fueled by the endless questions no one can answer
A stain covers your heart and tears you apart
Just like a sleeping cancer
I don't believe men are born to be killers
I don't believe the world can be saved
How did you get here and when did it start?
An innocent child with a thorn in his heart
What kind of world do we live in?
Where love is divided by hate
Loosing control of our feelings
We all must be dreaming this life away
In a world so cold
Are you sane, where's the shame?
A moment of time passes by you cannot rewind
Who's to blame and where did it start?
Is there a cure for your sickness
Have you no heart?
I don't believe men are born to be killers
I don't believe the world can't be saved
How did you get here and when did it start?
An innocent child with a thorn in his heart
What kind of world do we live in?
Where love is divided by hate
Selling our soul for no reason
We all must be dreaming this life away
In a world so cold, In a world so cold
There's a sickness inside you that wants to escape
It's a feeling you get when you can't find your way
So how many times must you fall to your knees?
Never, never, never, never, never do this again
It starts with pain, followed by hate
No I don't believe men are born to be killers
I don't believe that the world can't be saved
What kind of world do we live in
Where love is divided by hate
Losing control of our feeling
We're dreaming this life away
What kind of world do we live in
Where love is divided by hate
Selling our soul for no reason
We all must be dreaming this life away
In a world so cold
In a world so cold"
12 stones,broken,Rock,en,"Freedom!
Alone again again alone
Patiently waiting by the phone
Hoping that you will call me home
The pain inside my love denied
Hopes and dreams swallowed by pride
Everything I need it lies in you
'Cause I'm broken
I know I need you now
'Cause deep inside I'm broken
You see the way I live
I know I know your heart is broken
When I turn away
I need to be broken
Take the pain away
I question why you chose to die
When you knew your truth I would deny
You look at me
The tears begin to fall
And all in all faith is blind
But I fail time after time
Daily in my sin I take your life
'Cause I'm broken
I know I need you now
'Cause deep inside I'm broken
You see the way I live
I know I know your heart is broken
When I turn away
I need to be broken
Take the pain away
All the hate deep inside
Slowly covering my eyes
All these things I hide
Away from you again
All this fear holding me
My heart is cold and I believe
Nothing's gonna change
Until I'm broken
This time
Let go!
'Cause I'm broken
I know I need you now
'Cause deep inside I'm broken
You see the way I live
I know I know your heart is broken
When I turn away
I need to be broken
Take the pain away
Broken
Broken
Broken
Broken"
12 stones,3 leaf loser,Rock,en,"Biting the hand that feeds you, lying to the voice
Inside, reach out to beg for something this life
Is a lesson, take what you're given feeding on
Self destruction, waiting to explode again, no
Sign of resolution this life is a lesson, take what
You're given
You don't need direction to find your way, don't
You listen to yourself now and again killing
Time, killing you mind over matter, stop and
Listen to yourself now
Bend me before i breakdown, dying to be free
Within, it's not how you'd like to see it this life
Is a lesson, take what you're given forcing your
Self solution as you fall into line again, when
Will i find the answers this life is a lesson, take
What you're given
Falling to the ground, left face down as i recall
The mirrors ugly glare"
12 stones,anthem for the underdog,Rock,en,"You say you know just who I am
But you can't imagine
What waits for you across the line
You thought you had me
But I'm still here standing
And I'm tired of backing down
And I'm here now feelin' the pain
Of a thousand hearts
Been to hell and back again
I won't take this
You try so hard to bring me down
You can't break the broken
You still don't seem to understand
It's your turn to see just
How it feels to be me
How it feels to be knocked down
And you're here now feeling the pain
Of a thousand hearts
You've been to hell and back again
You can't take this
Remember
This feeling
How it feels to be alive
Now you see me through my eyes
And we're here now feeling the beat
Of a thousand hearts
Coming back to life again
We can make it
Remember
This feeling
Remember..."
,,,,
12 stones,anthem for the underdog (picture perfect sessions),Rock,en,"You say you know just who I am
But you can't imagine
What waits for you across the line
You thought you had me
But I'm still here standing
And I'm tired of backing down
And I'm here now feeling the pain
Of a thousand hearts
Been to hell and back again
I won't take this
You try so hard to bring me down
You can't break the broken
You still don't seem to understand
It's your turn to see just
How it feels to be me
How it feels to be knocked down
And you're here now feeling the pain
Of a thousand hearts
You've been to hell and back again
You can't take this
Remember
This feeling
How it feels to be alive
Now you see me through my eyes
And we're here now feeling the beat
Of a thousand hearts
Coming back to life again
We can make it
Remember
This feeling
Remember"
12 stones,picture perfect,Rock,en,"Looking for light in the darkness
Is something for fools
Searching for hope in a hopeless time
But now I'm through
Because I know I have something inside
Tô keep me from stumbling over my pride
And I'm dying tô believe
But now that it went away
I thought it would end all today
And I can feel the fight
Deep inside me giving way
And I don't wanna give in
But it's getting really hard
Tô give it all away
Nothing's coming back tô me
There was once a time
When everything seemed fine
Now I'm going back again
Tô this picture perfect place of mine
I won't believe something's wrong
When I know that it's true
And I know I can't lose a thing
If there's nothing tô lose
Nothing will keep me from chasing my dreams
And I will not give up on all of these things
That I'm trying tô achieve
But now that it went away
I thought it would end all today
And I can feel the fight deep
Inside me giving way
And I don't wanna give in
But it's getting really hard
Tô give it all away
Nothing's coming back tô me
There was once a time
When everything seemed fine
Now I'm going back again
Tô this picture perfect place of mine
But now that it went away
I thought it would end all today
And I can feel the fight
Deep inside me giving way
And I don't wanna give in
But it's getting really hard
Tô give it all away
Nothing's coming back tô me
There was once a time
When everything seemed fine
Now I'm going back again
Tô this perfect place of mine
Dying before my eyes
I reach tô make it mine
And now I'm going back again
Tô this picture perfect place of mine"
12 stones,bitter,Rock,en,"Mother mother can you hear me,I keep trying
Just to find me all I know now, all you show me,
Endless questions, hopeless ending
This bitter pill is pushing me away and now I feel
Like there's nothing left to say and I pretend to
Look the other way but in the end will I be okay,
Will I be okay
Father father will you be there as I cry out
Silent again turning colder, frozen deeper,
Numb to this dream sleeping within
Before I face another day, won't you let stay asleep,
Lost among the dreams that always comfort me
And before I find my feet, won't you show me
What I need, what I need to walk again"
12 stones,it was you,Rock,en,"It was you,
That showed me who I am,
And taught me how to stand,
For what I know is real,
I was sick of all the pain,
Tired of all the shame that I felt,
But you showed me the way,
To never have a doubt,
And always to believe in myself,
Now I see,
It was you,
That showed me who I am,
And taught me how to stand,
For what I know is real,
Now I'm breathing for the first time,
And I'm leavin all this behind,
I'll become what I am because of you,
It was you,
I'm so sorry about the ways,
That I can't take away my past,
But you loved me anyway,
And now I want to do,
Everything for you that I can,
Even though it won't erase,
The foolish things that I've done,
Things that blinded me,
But now I see,
It was you,
That showed me who I am,
And taught me how to stand,
For what I know is real,
Now I'm breathing for the first time,
And I'm leavin all this behind,
And I'll stand for what I know is real,
So how can I make this up to you,
I'll fight and I'll push and I'll strive,
Now that I'm living my life for you,
I'll fight and I'll push and I'll strive,
Can't you see,
It was you,
That showed me who I am,
And taught me how to stand,
For what I know is real,
Now I'm breathing for the first time,
And I'm leavin all this behind,
I'll become what I am because of you,
I can see the writing on the wall,
As time begins to crawl away from me,
And I'll become what I am because of you,
It was you."
12 stones,back up,Rock,en,"
I hear the words you say to me
I see the way you look at me
I know what's on your mind so
Stand up get up back up now
Just stay away
I know the fear you hold inside
I know what's weighing on your mind
There's nothing you can do so
Stand up get up back up
You're reaching out just to be like me
But you've fallen short
Still you're following me
You had the chance to bring me down
But there's nothing left
So just stay away from me
You can't stand to see my face
To know you'll never take my place
There's nothing you can do but
Stand up get up back up now
Just stay away
I feel the hate you push on me
I see the things that you can't see
I know what's on your mind so
Stand up get up back up
It's not the things you say to me
It's not the things that I believe
You try to bring me down
So stand up get up back up now Just stay away."
12 stones,waiting for yesterday,Rock,en,"It's a long way back to reality, she puts another
Brick in the wall of shame she made so long ago
Trying to figure out where things went wrong
Searching through all the lies she told
Somehow she missed out on all the things that
She needed most days spent wondering why this
Life is so cold and nothing ever changes
Screaming for attention, watch the sun steal
Yesterday
Hiding all emotion far away
Trying to find his self confidence, another
Broken heart behind the painless smile that he
Shows reminded that yesterday is so far gone
And tomorrow is still a miracle somehow he
Missed out on all the things he needed most days
Spent wondering why this life is so cruel and
Nothing ever changes
Tomorrow's still a miracle"
12 stones,blind,Rock,en,"I'm not okay but patiently I wait
I sit here hoping that we will be saved
Am I too late or am I just in time?
It's just too dark to see through blinded eyes
And I can't see you walk away
'Cause you're already gone
Because in this dark you are my light
The one that brings me back to life
I won't be okay doing this all alone
'Cause love is always hard to find
But without you here lately, I'm blind
I'm awake, I saw you in my dreams
You came to me and never turned away
To be okay, something's gotta change
'Cause with the lights on I still feel the same
I can't see you walk away
Tell me where did I go wrong?
Because in this dark you are my light
The one that brings me back to life
I won't be okay doing this all alone
In this life I have to choose
Between losing me and losing you
It's so unfair I do this on my own
'Cause love is always hard to find
But without you here lately, I'm blind
I stumble, you don't let me fall
Maybe you love me after all
I'll take whatever brings you back
Nobody makes me feel like that
Please don't ever let me lose your light
In this dark you are my light
The one that brings me back to life
I won't be okay doing this all alone
In this life I have to choose
Between losing me and losing you
It's so unfair I do this on my own
'Cause love is always hard to find
But without you here lately, I'm blind
Now I see through open eyes
That without you here lately I'm blind
I'm okay and patiently I wait"
